postcode,lat,lon
N4 2QW,51.561208,-0.104725
NG32 2LG,52.977489,-0.723392
SE7 7NJ,51.484589,0.027771
ST5 6QU,53.018221,-2.288209
GU12 5LS,51.27187,-0.720211
PH15 2EZ,56.626152,-3.845271
BN1 2AJ,50.824882,-0.150219
BS39 7TG,51.309876,-2.505311
GL12 8UF,51.628775,-2.398153
DG6 4AN,54.832757,-4.055265
EH6 6TG,55.973909,-3.176615
WN6 0HQ,53.586241,-2.662627
KY11 8LG,56.054158,-3.393679
NE20 0JE,55.030009,-1.798004
TR20 8SQ,50.134055,-5.569826
EX33 2EQ,51.112454,-4.15707
AB43 9SB,57.68851,-2.008775
S26 7XP,53.315442,-1.262107
EX17 5NQ,50.811766,-3.74689
PA4 8HU,55.87379,-4.402063
EX7 0FT,50.600968,-3.456842
B10 9RB,52.46909,-1.851382
DE6 1JL,53.053358,-1.689107
PA4 8YW,55.878974,-4.37733
EX16 5BU,50.907474,-3.498324
AB56 5QX,57.663154,-3.011104
LL19 9SU,53.342566,-3.365183
DE24 0AS,52.888444,-1.441557
RG14 5BZ,51.398482,-1.338215
IV2 4JE,57.456884,-4.21673
FY2 9LU,53.848429,-3.046229
PE2 6DF,52.553609,-0.31407
KY11 4RH,56.062051,-3.425572
IP31 1PL,52.328636,0.725389
BA4 6RB,51.124976,-2.538082
KY2 6HA,56.125042,-3.189444
TA8 2JG,51.25749,-3.003765
NW1 7DS,51.53812,-0.145513
PA23 7PY,55.953494,-4.934657
G73 3DP,55.82743,-4.203462
AB55 4AG,57.445425,-3.134433
B77 1HB,52.615079,-1.686358
HU6 7JZ,53.772377,-0.35366
BN5 9NB,50.889636,-0.223226
DD6 8SG,56.402329,-3.005779
B76 2UW,52.557103,-1.797912
ST17 4NT,52.789674,-2.105388
EH3 9GB,55.9433,-3.193601
S71 5LF,53.568074,-1.428994
BL6 5TQ,53.596765,-2.545464
ML1 3LF,55.795896,-4.004304
CV32 4SW,52.292456,-1.528287
